,title,price,type,men's item,link
0,huge blue lapis lazuli and turquoise statement ring,150,ring,True,https://washingtondc.craigslist.org/doc/jwl/d/washington-huge-blue-lapis-lazuli-and/7786597063.html
1,diamond tiara,15,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-diamond-tiara/7786705292.html
2,men’s swiss watch,460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7787694086.html
3,new men's watch,450,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7782551248.html
4,"cubic zirconia wedding ring set, size 10",10,ring,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-cubic-zirconia-wedding-ring/7788913585.html
5,men’s swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7787081734.html
6,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7785848071.html
7,brand new smart watch with multi-function in its box....,50,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/reston-brand-new-smart-watch-with-multi/7785566169.html
8,skagen slim ladies watch nib,50,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/arlington-skagen-slim-ladies-watch-nib/7782960309.html
9,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7783842066.html
10,2 brand new curved styling decorative hair combs.....,5,other,False,https://washingtondc.craigslist.org/nva/jwl/d/reston-brand-new-curved-styling/7786877087.html
11,stauer men's blue dial quartz chronograph watch date bracelet,50,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/sterling-stauer-mens-blue-dial-quartz/7788901424.html
12,sherlove freshwater pearl necklace women gold dainty choker necklace,5,necklace,True,https://washingtondc.craigslist.org/mld/jwl/d/glen-echo-sherlove-freshwater-pearl/7788890978.html
13,columbia mens watch - large face,59,watch,True,https://washingtondc.craigslist.org/doc/jwl/d/bethesda-columbia-mens-watch-large-face/7788885465.html
14,tiffany t wire ring in 18k rose gold,750,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-tiffany-wire-ring-in-18k-rose/7785078680.html
15,disney's mickey mouse necklace (brand new),25,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-disneys-mickey-mouse/7784813490.html
16,casio baby g shock,45,other,False,https://washingtondc.craigslist.org/mld/jwl/d/clinton-casio-baby-shock/7785838990.html
17,vintage crystal necklace,50,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-vintage-crystal-necklace/7788257262.html
18,blancpain x swatch bioceramic scuba fifty fathoms,500,other,False,https://washingtondc.craigslist.org/mld/jwl/d/cabin-john-blancpain-swatch-bioceramic/7788809576.html
19,mens swiss watch open worked (skeleton),460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch-open-worked/7786956696.html
20,men's swiss watch (skeleton),460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch-skeleton/7783757769.html
21,casio ae-2100w-4avcf/or 3198,10,other,False,https://washingtondc.craigslist.org/nva/jwl/d/dumfries-casio-ae-2100w-4avcf-or-3198/7788800802.html
22,casio g-shock / gwg-100-1a8jf,100,other,False,https://washingtondc.craigslist.org/nva/jwl/d/dumfries-casio-shock-gwg-100-1a8jf/7788781287.html
23,casio watch with japan movement and new 10-year battery,50,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-casio-watch-with-japan-movement/7782673909.html
24,vintage solid copper southwestern bracelet,30,bracelet,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-vintage-solid-copper/7780230024.html
25,"pink, ivory, aqua beaded necklace & bracelet",20,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-pink-ivory-aqua-beaded-necklace/7780229970.html
26,sterling silver cuff bracelet,60,bracelet,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-sterling-silver-cuff-bracelet/7780237836.html
